Car Type,Vehicle Chassis,Fuel type,url,Manufacturer,Model,Price (€)
Hyundai i10 Comfort,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i10,Hyundai,i10 Comfort, 259
Hyundai i20 Comfort MHEV,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i20-mhev,Hyundai,i20 Comfort MHEV, 329
Ford Puma Titanium,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/puma-mhev,Ford,Puma Titanium, 359
Hyundai BAYON Comfort MHEV,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/bayon-mhev,Hyundai,BAYON Comfort MHEV, 359
Kia Ceed Sportswagon DynamicLine,Station5-deurs,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ceed-sportswagon,Kia,Ceed Sportswagon DynamicLine, 379
Skoda Kamiq Ambition,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/kamiq,Skoda,Kamiq Ambition, 389
Hyundai IONIQ 5 Style 58 kWh,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/ioniq-5-ev,Hyundai,IONIQ 5 Style 58 kWh, 539
"Hyundai IONIQ 6 Connect 77,4 kWh",Sedan,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/ioniq-6-ev,Hyundai,"IONIQ 6 Connect 77,4 kWh", 569
Hyundai TUCSON Hybrid Comfort Smart,SUV,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-hybrid,Hyundai,TUCSON Hybrid Comfort Smart, 599
Suzuki Ignis Comfort,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/ignis-mhev,Suzuki,Ignis Comfort, 279
Mitsubishi Space Star Connect+,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/space-star,Mitsubishi,Space Star Connect+, 279
Fiat 500 Hybrid,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500-mhev,Fiat,500 Hybrid, 279
Fiat Panda,hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/panda-mhev,Fiat,Panda, 299
Toyota AYGO X Play,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/aygo-x,Toyota,AYGO X Play, 299
Fiat 500C,Cabriolet2-deurs,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500c-mhev,Fiat,500C, 324
Dacia Sandero Expression,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/sandero,Dacia,Sandero Expression, 324
Mazda 2 MHEV Centre-Line,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/2-mhev,Mazda,2 MHEV Centre-Line, 334
Citroën C3 Plus, Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c3,Citroën,C3 Plus, 339
Renault TWINGO Electric Equilibre,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/twingo-ev,Renault,TWINGO Electric Equilibre, 339
Mitsubishi Colt Pure,Hatchback ,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/colt,Mitsubishi,Colt Pure, 339
Skoda Fabia Active,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/fabia,Skoda,Fabia Active, 349
Renault CLIO Evolution,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/clio,Renault,CLIO Evolution, 354
Fiat 500e 24 kWH Urban,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev,Fiat,500e 24 kWH Urban, 359
Fiat 500e 24 kWH Urban,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev,Fiat,500e 24 kWH Urban, 399
Fiat 500e 24 kWH Urban,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev,Fiat,500e 24 kWH Urban, 359
Fiat 500e 24 kWH Urban,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500e-ev,Fiat,500e 24 kWH Urban, 399
Peugeot 208 Active,hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/208,Peugeot,208 Active, 359
Dacia Sandero Stepway Expression,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/sandero-stepway,Dacia,Sandero Stepway Expression, 359
Seat Ibiza Style,hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/ibiza,Seat,Ibiza Style, 359
Nieuwe Opel Corsa,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/corsa,Nieuwe,Opel Corsa, 369
Toyota Yaris Active,Hatchback,benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris,Toyota,Yaris Active, 374
Renault CLIO Hybrid Evolution,Hatchback,HybrideBenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/clio-hybrid,Renault,CLIO Hybrid Evolution, 384
Toyota Yaris Hybrid Active,Hatchback,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/yaris-hybrid,Toyota,Yaris Hybrid Active, 384
Mazda 2 Hybrid Prime-Line,Hatchback,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/2-hybrid,Mazda,2 Hybrid Prime-Line, 389
BYD Dolphin Active,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/byd/dolphin-ev,BYD,Dolphin Active, 399
Volkswagen Polo Life,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/polo,Volkswagen,Polo Life, 399
Dacia Jogger Expression,MPV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/jogger,Dacia,Jogger Expression, 399
Kia Stonic ComfortLine,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/stonic-mhev,Kia,Stonic ComfortLine, 399
Nieuwe Peugeot 208 Active Hybrid,hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/208-mhev,Nieuwe,Peugeot 208 Active Hybrid, 404
Hyundai i30 i-Motion MHEV,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i30-mhev,Hyundai,i30 i-Motion MHEV, 409
Seat Arona Style,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/arona,Seat,Arona Style, 414
Renault CAPTUR Equilibre,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/captur,Renault,CAPTUR Equilibre, 414
Nissan Juke Acenta,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/juke,Nissan,Juke Acenta, 419
Dacia Duster Expression,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/duster,Dacia,Duster Expression, 419
Citroën C3 Aircross You,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c3-aircross,Citroën,C3 Aircross You, 419
Mitsubishi Colt Hybrid Intense,Hatchback ,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/colt-hybrid,Mitsubishi,Colt Hybrid Intense, 419
Audi A1 Sportback,Sportback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/audi/a1-sportback,Audi,A1 Sportback, 419
Opel Crossland Elegance,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/crossland,Opel,Crossland Elegance, 424
