NamaMobil,Harga,url
Hyundai i10 ,"€ 259,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i10
Hyundai i20 MHEV ,"€ 329,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/i20-mhev
Hyundai Bayon MHEV ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/bayon-mhev
Ford Puma MHEV ,"€ 359,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/puma-mhev
Kia Ceed Sportswagon ,"€ 379,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ceed-sportswagon
Skoda Kamiq ,"€ 389,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/kamiq
Hyundai IONIQ 5 Elektrisch ,"€ 539,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/ioniq-5-ev
Hyundai IONIQ 6 Elektrisch ,"€ 569,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/ioniq-6-ev
Hyundai Tucson Hybrid ,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-hybrid
Suzuki Ignis MHEV ,"€ 279,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/suzuki/ignis-mhev
Fiat 500 MHEV ,"€ 279,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/500-mhev
Mitsubishi Space Star ,"€ 279,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mitsubishi/space-star
Fiat Panda MHEV ,"€ 299,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/fiat/panda-mhev
Toyota AYGO X ,"€ 299,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/aygo-x
Dacia Sandero ,"€ 324,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/dacia/sandero
